community_ab,community_eccc,ab_reading_date,ab_current_aqhi,ab_forecast_today,ab_forecast_tomorrow,ab_forecast_tonight,ab_pulled_at_utc,eccc_current_aqhi,eccc_pulled_at_utc,diff_ab_minus_eccc,abs_diff,flag
Edmonton,Edmonton,2026-06-15 16:00,3.0,3,2,3,2026-06-15T22:58:26+00:00,3.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-15 16:00,3.0,3,3,3,2026-06-15T22:58:26+00:00,3.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-15 16:00,3.0,2,2,2,2026-06-15T22:58:26+00:00,3.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-15 16:00,2.0,3,2,3,2026-06-15T22:58:26+00:00,2.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-15 16:00,2.0,2,2,2,2026-06-15T22:58:26+00:00,2.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-15 16:00,3.0,2,2,2,2026-06-15T22:58:26+00:00,3.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-15 16:00,3.0,3,3,2,2026-06-15T22:58:26+00:00,3.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-15 16:00,3.0,3,3,3,2026-06-15T22:58:26+00:00,3.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-15 16:00,2.0,3,2,3,2026-06-15T22:58:26+00:00,2.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-15 16:00,2.0,2,2,2,2026-06-15T22:58:26+00:00,2.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-15 16:00,3.0,3,2,3,2026-06-15T22:58:26+00:00,3.0,2026-06-15T22:58:26+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-15 16:00,3.0,3,2,3,2026-06-15T22:58:26+00:00,,,,,OK
