community_ab,community_eccc,ab_reading_date,ab_current_aqhi,ab_forecast_today,ab_forecast_tomorrow,ab_forecast_tonight,ab_pulled_at_utc,eccc_current_aqhi,eccc_pulled_at_utc,diff_ab_minus_eccc,abs_diff,flag
Edmonton,Edmonton,2026-07-19 17:00,2.0,N/A,7,3,2026-07-19T23:36:31+00:00,2.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-19 17:00,5.0,N/A,4,4,2026-07-19T23:36:31+00:00,5.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-19 17:00,3.0,N/A,4,3,2026-07-19T23:36:31+00:00,3.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-19 17:00,3.0,N/A,7,7,2026-07-19T23:36:31+00:00,3.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-19 17:00,15.0,N/A,8,7,2026-07-19T23:36:31+00:00,11.0,2026-07-19T23:36:31+00:00,4.0,4.0,Major difference
Lethbridge,Lethbridge,2026-07-19 17:00,4.0,N/A,3,4,2026-07-19T23:36:31+00:00,4.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-19 17:00,4.0,N/A,3,4,2026-07-19T23:36:31+00:00,4.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-19 17:00,4.0,N/A,4,4,2026-07-19T23:36:31+00:00,4.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-19 17:00,3.0,N/A,7,3,2026-07-19T23:36:31+00:00,3.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-19 17:00,2.0,N/A,7,3,2026-07-19T23:36:31+00:00,2.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-19 17:00,2.0,N/A,7,3,2026-07-19T23:36:31+00:00,2.0,2026-07-19T23:36:31+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-19 17:00,2.0,N/A,7,3,2026-07-19T23:36:31+00:00,,,,,OK
